gene	WT_0.5mM	WT_10mM	arp6_0.5mM	arp6_10mM	cluster_5_pearson	cluster_5_pearson_color
AT1G08100	-0.6075662954252006	-3.979394839092117	1.369462200197052	-0.6823981380804706	1	#8DD3C7
AT2G38540	-0.43055619412487145	-0.029764392056526836	-0.2915168625787557	0.5316131784677357	2	#FFFFB3
AT4G01390	0.6749978167884986	-1.0623151980701213	0.5066082124114167	-1.0109340961960156	3	#BEBADA
AT4G32950	-0.005373798280839256	-1.7133640635568073	0.9292709805512999	-0.37427259106208555	1	#8DD3C7
AT4G25100	-2.248886242405382	-0.6006013073943386	-1.12850761711003	1.365179175825168	2	#FFFFB3
AT5G60770	0.20206036972993735	-2.9084075923308323	1.1175689908189221	-1.180244514240907	1	#8DD3C7
AT3G45140	-0.8253623403395566	-0.28106774534682205	-0.5055806889306361	0.7452523127034895	2	#FFFFB3
AT3G54590	-0.15306142521408586	-0.6983157288903479	0.6913823868633735	-0.2233427642291529	1	#8DD3C7
AT5G25610	-0.30565306713055973	0.06324300207772675	-0.3739035136265202	0.435251022747442	4	#FB8072
AT3G01190	0.15240053352193336	-0.2361578368530946	0.32240328288451825	-0.3556125124917483	3	#BEBADA
AT1G75750	-0.14038360847829973	0.396718386906094	-0.44920765330059537	0.05778800518136079	4	#FB8072
AT5G14650	-0.35893883226438544	-0.0730623893976082	-0.48666534927776284	0.6306312085698921	2	#FFFFB3
AT3G46280	0.3261708203875381	-0.19757614234089552	0.24703396504368177	-0.6437599534723469	3	#BEBADA
AT5G64040	-0.16847570317089675	0.07997984872418103	-0.28119350806992643	0.2879265950846717	4	#FB8072
AT1G20340	-0.2698523707023992	0.11207996633618629	-0.25835754629139873	0.3184627974682127	4	#FB8072
AT3G08740	-0.2202324619937962	0.025706881772792525	-0.18949876234881005	0.3127236019462549	2	#FFFFB3
AT3G54210	-0.21167120158280808	0.11784746061687482	-0.19742952834465338	0.23676744578085132	4	#FB8072
AT3G54580	-0.02519350260176282	-0.49631428757548224	0.5225287734702568	-0.23307494868836331	1	#8DD3C7
AT5G62720	-0.1368234220789668	0.17893132522352015	-0.40252729540549026	0.2548856499526322	4	#FB8072
AT5G37990	0.4810599657533394	-0.42867470116435646	0.279681304439468	-0.7034112420519398	3	#BEBADA
AT1G08380	-0.19247764170806786	0.056745343410488085	-0.22590189868234367	0.28660313218933214	4	#FB8072
AT2G43610	0.7067212554737891	0.18077624038526838	-0.35305398732881077	-1.1988102324673706	5	#80B1D3
AT3G63160	-0.32725020851051234	0.3801510257611062	-0.47577116879461373	0.22753474437295643	4	#FB8072
AT5G63310	-0.1363256243548496	0.12595154174558093	-0.2738461934179497	0.2261865039816536	4	#FB8072
AT2G38140	0.3096629566029166	0.510671859326057	-0.9510286641582655	-0.2988565446779995	5	#80B1D3
AT2G42250	-0.10833112808880337	-0.7919415911825166	0.7470532493733777	-0.3642625152230661	1	#8DD3C7
AT2G33770	0.34466985965909736	-0.17627101081421206	0.14391712580296154	-0.45228990759546694	3	#BEBADA
AT3G48360	0.005510517437988372	0.7561796107911363	-1.4307166972188436	-0.14327644119830646	5	#80B1D3
AT1G08090	-0.0026228902420556074	-0.9341305447518164	0.5459932087033231	-0.0015807025475438237	1	#8DD3C7
AT2G05440	-0.05184302650701583	0.46581218422298065	-0.641275009185501	-0.020624935170661003	5	#80B1D3
AT3G62030	-0.25078437143501553	0.06611160218307661	-0.24720967002837366	0.3317809386634501	4	#FB8072
AT5G54280	0.038709765234907455	-0.003008618529293523	-0.13133831794915088	0.07215429831953708	6	#FDB462
AT5G38430	-0.2275612569702285	0.2952424587509481	-0.3929434885749113	0.19932158170303382	4	#FB8072
AT4G21280	-0.24420683583754849	0.022236124110592326	-0.22623809681531354	0.3523323681862357	2	#FFFFB3
AT1G26770	-0.22014814872516703	0.06138924371443289	-0.3919652532966561	0.3710218978900721	2	#FFFFB3
AT3G25920	-0.167792527550772	0.08534743570237549	-0.23498868747019738	0.2562522186913909	4	#FB8072
AT3G04720	-0.5631335451295914	0.3318319320360349	-0.5397607067945666	0.36083166326751837	4	#FB8072
AT4G05180	-0.19847792084547772	0.0052386519327459824	-0.2903388682827678	0.36875975382676107	2	#FFFFB3
AT4G19030	0.31771832791792265	-0.30764831718239616	0.2912782683725282	-0.5020221275647317	3	#BEBADA
ATCG00340	0.21225363589827234	0.3581259994699191	0.09602901387882999	-1.4104509249823676	5	#80B1D3
AT1G09310	-0.26135711475889045	-0.03740711868251001	-0.26225265681888166	0.41981794342324213	2	#FFFFB3
AT2G37180	-0.8209197947373894	-0.26235258221779567	-0.005746855432629005	0.6613754713747105	2	#FFFFB3
AT2G45960	-0.2620422223264155	-0.028530568809070348	-0.10006256941149712	0.3191345724562122	2	#FFFFB3
AT3G27850	-0.10570491919578283	0.17827590443028127	-0.3006560852700022	0.1671841727820993	4	#FB8072
AT4G24770	-0.11275649505337136	0.13527474974547937	-0.22941331317507324	0.16716068592890013	4	#FB8072
AT5G47190	-0.23055506266215783	0.014355063946818908	-0.18287544441425999	0.32153879985592876	2	#FFFFB3
AT5G51110	-0.09134786791935484	0.11348004370611413	-0.29769932011759026	0.21704838034454513	4	#FB8072
AT2G30570	-0.17821330609267522	-0.01873014812679841	-0.16403146569107763	0.3011841542716169	2	#FFFFB3
AT2G39530	0.3361735011901218	-0.1689656513361159	0.23936914646920027	-0.645156028500748	3	#BEBADA
AT5G20720	-0.20048322942025035	-0.0032820635455261538	-0.20192600070001837	0.32311488821340556	2	#FFFFB3
AT3G47340	0.02841893971334198	0.46166595384122394	-1.1820018145859277	0.022072046535581313	6	#FDB462
ATCG00350	0.10707917489748815	0.3107786415847089	0.2596032660322545	-1.4269148342351037	5	#80B1D3
AT3G60330	-0.2112058789512546	-0.9577350908703194	0.7715010074801713	-0.15772744878090994	1	#8DD3C7
